timestamp	datetime	device	numdoc	region	request	urls
1520974810	2018-03-14 00:00	touch	173343415	28	https://yandex.ru/search/?text=женская доля индийский сериал на русском языке&id=o6UIUWLW1ZgNjSuD	http://loveserial.net/india/4218-zhenskaya-dolya-smotret-onlajn-vse-serii-na-zeetv.html/;http://ereko.ru/12895/;https://topcinema.tv/indian-serials/zhenskaya-dolya-bindi-na-udachu-dela-serdechnye-ili-sudba-pragi-kumkum-bhagya.html
1520974815	2018-03-14 00:00	desktop	112583547	75	https://yandex.ru/search/?text=золотая орда сериал актёры	http://www.kino-teatr.ru/kino/movie/ros/121946/titr/;https://www.kinopoisk.ru/film/zolotaya-orda-2018-780307/cast/;https://24smi.org/news/90531-serial-zolotaia-orda-aktery-i-roli.html
1520974819	2018-03-14 00:00	touch	93022705	54	https://yandex.ru/search/?text=актеры сериала великолепный век&flag=B1406	https://ru.wikipedia.org/wiki/%D0%A1%D0%BF%D0%B8%D1%81%D0%BE%D0%BA_%D0%BF%D0%B5%D1%80%D1%81%D0%BE%D0%BD%D0%B0%D0%B6%D0%B5%D0%B9_%D1%82%D0%B5%D0%BB%D0%B5%D1%81%D0%B5%D1%80%D0%B8%D0%B0%D0%BB%D0%B0_%C2%AB%D0%92%D0%B5%D0%BB%D0%B8%D0%BA%D0%BE%D0%BB%D0%B5%D0%BF%D0%BD%D1%8B%D0%B9_%D0%B2%D0%B5%D0%BA%C2%BB;https://www.domashniy.ru/kino_i_serialy/20-akterov-velikolepnogo-veka-novye-roli-v-kino-i-v-zhizni/;http://allsisters.ru/dosug/samye-krasivye-aktery-seriala-velikolepnyj-vek-chast-1/
1520974838	2018-03-14 00:00	desktop	54329026	8	https://yandex.ru/search/?text=футболисты сериал&flag=dy7621&client=879561	http://onlinefilm-hd.com/load/serialy/igroki_futbolisty_1_sezon_2015/1-1-0-2118;http://online-freebee.ru/serials/23253-igroki-futbolisty.html;http://wkino2.net/1419-futbolisty.html
1520974844	2018-03-14 00:00	touch	58995963	2	https://yandex.ru/search/?text=петербургские тайны сериал	https://ru.wikipedia.org/wiki/%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D1%81%D0%BA%D0%B8%D0%B5_%D1%82%D0%B0%D0%B9%D0%BD%D1%8B;https://www.youtube.com/playlist?list=PLqDEpvXDkKcS6kQU59JXfpsxQ3NLDnUVc;http://seria-z.net/serial/Peterburgskie-tayny.html
1520974849	2018-03-14 00:00	desktop	42755702	38	https://yandex.ru/search/?text=золушка сериал	https://www.ivi.ru/watch/zolushka_1995;https://topcinema.tv/italian-serials/zolushka--serial-cenerentola.html;https://www.kinopoisk.ru/film/zolushka-2011-575452/
1520974851	2018-03-14 00:00	touch	102913381	10743	https://yandex.ru/search/?text=когда выйдет сериал улица	https://kogda.org/ulica-2-sezon.html;https://myshows.me/view/54920/;https://release-series.com/ulica-2-sezon.html
1520974863	2018-03-14 00:01	desktop	293984440	35	https://yandex.ru/search/?text=сериал последний москаль 3 сезон смотреть онлайн все серии&flag=WYBGP4965&client=352629	https://tvdate.ru/posledniy-moskal-3-season;http://bobyfilms.net/12944-posledniy-moskal-2015-15-16-seriya.html;http://tvmonster.net/load/zhanry/uzhasy/ostannij_moskal_2_sezon_1_1/5-1-0-285
1520974870	2018-03-14 00:01	desktop	42153499	193	https://yandex.ru/search/?text=тройня сериал	http://kinovid24.ru/video/serialy/troinja.html;https://www.youtube.com/watch?v=vLTW6czME3k;https://ok.ru/video/333186336075
1520974898	2018-03-14 00:01	touch	218523782	20689	https://yandex.ru/search/?text=побег русский сериал 2 сезон 16	http://kinoguru.tv/serial/pobeg-2010/13232;http://www.online-life.club/1007-pobeg-rus.html;http://tvserial-online.biz/series/2858-pobeg2.html
